"","GENDER","RACE","AGE","CRF","BMI","Risk","Range_upper","Range_lower"
"1817","F","H",55,"3",15,14,7.1,23
"1818","F","H",55,"4",15,20,12,31
"1819","F","H",55,"5",15,30,20,38
"1820","F","H",55,"6",15,43,NA,NA
"1821","F","H",55,"0",20,3.3,NA,NA
"1822","F","H",55,"1",20,5.1,3.5,6.9
"1823","F","H",55,"2",20,7.9,4.3,13
"1824","F","H",55,"3",20,12,6,21
"1825","F","H",55,"4",20,18,10,28
"1826","F","H",55,"5",20,26,18,33
"1827","F","H",55,"6",20,37,NA,NA
"1828","F","H",55,"0",25,3.1,NA,NA
"1829","F","H",55,"1",25,4.9,3.3,6.5
"1830","F","H",55,"2",25,7.4,4,12
"1831","F","H",55,"3",25,11,5.5,20
"1832","F","H",55,"4",25,16,9,26
"1833","F","H",55,"5",25,23,17,31
"1834","F","H",55,"6",25,33,NA,NA
"1835","F","H",55,"0",30,2.7,NA,NA
"1836","F","H",55,"1",30,4.2,2.9,5.7
"1837","F","H",55,"2",30,6.5,3.5,11
"1838","F","H",55,"3",30,9.7,4.7,17
"1839","F","H",55,"4",30,14,7.8,23
"1840","F","H",55,"5",30,21,15,27
"1841","F","H",55,"6",30,29,NA,NA
"1842","F","H",55,"0",35,2.4,NA,NA
"1843","F","H",55,"1",35,3.7,2.5,4.9
"1844","F","H",55,"2",35,5.7,3,9.7
"1845","F","H",55,"3",35,8.5,4.1,15
"1846","F","H",55,"4",35,12,6.8,20
"1847","F","H",55,"5",35,18,13,24
"1848","F","H",55,"6",35,26,NA,NA
"1849","F","H",55,"0",40,2.1,NA,NA
"1850","F","H",55,"1",40,3.3,2.2,4.3
"1851","F","H",55,"2",40,5,2.6,8.5
"1852","F","H",55,"3",40,7.4,3.6,14
"1853","F","H",55,"4",40,11,5.9,18
"1854","F","H",55,"5",40,16,11,21
"1855","F","H",55,"6",40,23,NA,NA
"1856","F","H",55,"0",45,1.9,NA,NA
"1857","F","H",55,"1",45,2.9,1.9,3.8
"1858","F","H",55,"2",45,4.3,2.3,7.5
"1859","F","H",55,"3",45,6.5,3.1,12
"1860","F","H",55,"4",45,9.6,5.1,16
"1861","F","H",55,"5",45,14,9.9,19
"1862","F","H",55,"6",45,20,NA,NA
"1863","F","H",60,"0",15,4.9,NA,NA
"1864","F","H",60,"1",15,7.7,5.5,10
"1865","F","H",60,"2",15,12,7.1,18
"1866","F","H",60,"3",15,18,10,29
"1867","F","H",60,"4",15,27,17,39
"1868","F","H",60,"5",15,39,28,47
"1869","F","H",60,"6",15,53,NA,NA
"1870","F","H",60,"0",20,4.4,NA,NA
"1871","F","H",60,"1",20,6.9,4.8,9.1
"1872","F","H",60,"2",20,11,6,17
"1873","F","H",60,"3",20,16,8.5,26
"1874","F","H",60,"4",20,23,14,35
"1875","F","H",60,"5",20,33,24,42
"1876","F","H",60,"6",20,46,NA,NA
"1877","F","H",60,"0",25,4.2,NA,NA
"1878","F","H",60,"1",25,6.4,4.5,8.4
"1879","F","H",60,"2",25,9.7,5.4,16
"1880","F","H",60,"3",25,14,7.5,25
"1881","F","H",60,"4",25,21,12,33
"1882","F","H",60,"5",25,30,22,38
"1883","F","H",60,"6",25,41,NA,NA
"1884","F","H",60,"0",30,3.7,NA,NA
"1885","F","H",60,"1",30,5.6,3.9,7.4
"1886","F","H",60,"2",30,8.5,4.7,14
"1887","F","H",60,"3",30,13,6.5,22
"1888","F","H",60,"4",30,18,11,29
"1889","F","H",60,"5",30,26,19,34
"1890","F","H",60,"6",30,36,NA,NA
"1891","F","H",60,"0",35,3.2,NA,NA
"1892","F","H",60,"1",35,4.9,3.4,6.4
"1893","F","H",60,"2",35,7.4,4.1,12
"1894","F","H",60,"3",35,11,5.6,19
"1895","F","H",60,"4",35,16,9.2,26
"1896","F","H",60,"5",35,23,17,30
"1897","F","H",60,"6",35,32,NA,NA
"1898","F","H",60,"0",40,2.8,NA,NA
"1899","F","H",60,"1",40,4.3,2.9,5.6
"1900","F","H",60,"2",40,6.5,3.6,11
"1901","F","H",60,"3",40,9.7,4.9,17
"1902","F","H",60,"4",40,14,8,23
"1903","F","H",60,"5",40,20,15,27
"1904","F","H",60,"6",40,28,NA,NA
"1905","F","H",60,"0",45,2.5,NA,NA
"1906","F","H",60,"1",45,3.8,2.6,4.9
"1907","F","H",60,"2",45,5.7,3.1,9.6
"1908","F","H",60,"3",45,8.5,4.2,15
"1909","F","H",60,"4",45,12,6.9,20
"1910","F","H",60,"5",45,18,13,24
"1911","F","H",60,"6",45,25,NA,NA
"1912","F","H",65,"0",15,6.4,NA,NA
"1913","F","H",65,"1",15,10,7.4,13
"1914","F","H",65,"2",15,15,9.7,22
"1915","F","H",65,"3",15,23,15,34
"1916","F","H",65,"4",15,33,23,46
"1917","F","H",65,"5",15,46,36,55
"1918","F","H",65,"6",15,61,NA,NA
"1919","F","H",65,"0",20,5.6,NA,NA
"1920","F","H",65,"1",20,8.7,6.2,11
"1921","F","H",65,"2",20,13,7.9,20
"1922","F","H",65,"3",20,20,11,31
"1923","F","H",65,"4",20,28,19,41
"1924","F","H",65,"5",20,40,31,49
"1925","F","H",65,"6",20,53,NA,NA
"1926","F","H",65,"0",25,5.2,NA,NA
"1927","F","H",65,"1",25,7.9,5.6,10
"1928","F","H",65,"2",25,12,6.9,19
"1929","F","H",65,"3",25,17,9.7,29
"1930","F","H",65,"4",25,25,16,38
"1931","F","H",65,"5",25,35,27,44
"1932","F","H",65,"6",25,48,NA,NA
"1933","F","H",65,"0",30,4.5,NA,NA
"1934","F","H",65,"1",30,6.9,4.8,8.8
"1935","F","H",65,"2",30,10,5.9,16
"1936","F","H",65,"3",30,15,8.3,26
"1937","F","H",65,"4",30,22,14,33
"1938","F","H",65,"5",30,31,24,39
"1939","F","H",65,"6",30,42,NA,NA
"1940","F","H",65,"0",35,3.9,NA,NA
"1941","F","H",65,"1",35,6,4.2,7.6
"1942","F","H",65,"2",35,9,5.1,14
"1943","F","H",65,"3",35,13,7.1,23
"1944","F","H",65,"4",35,19,12,30
"1945","F","H",65,"5",35,27,21,35
"1946","F","H",65,"6",35,38,NA,NA
"1947","F","H",65,"0",40,3.4,NA,NA
"1948","F","H",65,"1",40,5.2,3.6,6.7
"1949","F","H",65,"2",40,7.8,4.4,13
"1950","F","H",65,"3",40,12,6.1,20
"1951","F","H",65,"4",40,17,10,26
"1952","F","H",65,"5",40,24,18,31
"1953","F","H",65,"6",40,33,NA,NA
"1954","F","H",65,"0",45,3,NA,NA
"1955","F","H",65,"1",45,4.5,3.1,5.9
"1956","F","H",65,"2",45,6.8,3.8,11
"1957","F","H",65,"3",45,10,5.3,18
"1958","F","H",65,"4",45,15,8.7,23
"1959","F","H",65,"5",45,21,16,27
"1960","F","H",65,"6",45,29,NA,NA
"1961","F","H",70,"0",15,8.8,NA,NA
"1962","F","H",70,"1",15,14,10,17
"1963","F","H",70,"2",15,21,14,28
"1964","F","H",70,"3",15,31,21,43
"1965","F","H",70,"4",15,45,34,58
"1966","F","H",70,"5",15,61,54,69
"1967","F","H",70,"6",15,75,NA,NA
"1968","F","H",70,"0",20,7.3,NA,NA
"1969","F","H",70,"1",20,11,8.3,14
"1970","F","H",70,"2",20,17,11,23
"1971","F","H",70,"3",20,25,16,36
"1972","F","H",70,"4",20,36,27,49
"1973","F","H",70,"5",20,51,44,60
"1974","F","H",70,"6",20,67,NA,NA
"1975","F","H",70,"0",25,6.5,NA,NA
"1976","F","H",70,"1",25,9.6,7.2,12
"1977","F","H",70,"2",25,14,9,20
"1978","F","H",70,"3",25,21,13,31
"1979","F","H",70,"4",25,30,21,41
"1980","F","H",70,"5",25,42,35,51
"1981","F","H",70,"6",25,57,NA,NA
"1982","F","H",70,"0",30,5.6,NA,NA
"1983","F","H",70,"1",30,8.2,6.1,11
"1984","F","H",70,"2",30,12,7.7,17
"1985","F","H",70,"3",30,18,11,26
"1986","F","H",70,"4",30,25,18,36
"1987","F","H",70,"5",30,36,30,44
"1988","F","H",70,"6",30,50,NA,NA
"1989","F","H",70,"0",35,4.8,NA,NA
"1990","F","H",70,"1",35,7.1,5.2,9.1
"1991","F","H",70,"2",35,10,6.5,15
"1992","F","H",70,"3",35,15,9.3,23
"1993","F","H",70,"4",35,22,15,31
"1994","F","H",70,"5",35,31,25,39
"1995","F","H",70,"6",35,44,NA,NA
"1996","F","H",70,"0",40,4.2,NA,NA
"1997","F","H",70,"1",40,6.1,4.5,7.9
"1998","F","H",70,"2",40,8.9,5.6,13
"1999","F","H",70,"3",40,13,7.9,20
"2000","F","H",70,"4",40,19,13,27
"2001","F","H",70,"5",40,27,21,34
"2002","F","H",70,"6",40,38,NA,NA
"2003","F","H",70,"0",45,3.6,NA,NA
"2004","F","H",70,"1",45,5.3,3.9,6.8
"2005","F","H",70,"2",45,7.7,4.8,11
"2006","F","H",70,"3",45,11,6.7,17
"2007","F","H",70,"4",45,16,11,24
"2008","F","H",70,"5",45,23,18,29
"2009","F","H",70,"6",45,33,NA,NA
"2010","F","H",75,"0",15,12,NA,NA
